MeasureItem,MeasureItemCategoryID,MeasureItemID,Category,Country,Year,LengthOfCircuits,LengthOfRoutes,NumberOfUnits,ProvidedValue,CreationDate,ProvidedValueCode
Inventory of Transmission,5,415,Nw_400kV_330kV,AL,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,AL,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,AL,2023,,,17,1711,22/04/2024 12:00,
Inventory of Transmission,5,412,Of_PU_>275kV,AL,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,AL,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,AL,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,AT,2023,8,7,,,22/04/2024 12:00,
Inventory of Transmission,5,407,ACC_Over_380kV,AT,2023,54,54,,,22/04/2024 12:00,
Inventory of Transmission,5,400,ACL_110kV_220kV,AT,2023,10826,6146,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,AT,2023,3608,1847,,,22/04/2024 12:00,
Inventory of Transmission,5,402,ACL_275kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,AT,2023,3098,1434,,,22/04/2024 12:00,
Inventory of Transmission,5,405,ACL_750kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,AT,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,AT,2023,,,,"110 kV cables: length of circuits 822 km, length of routh 759 km",22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,AT,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,AT,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,AT,2023,,,47,10260,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,AT,2023,,,23,6700,22/04/2024 12:00,
Inventory of Transmission,5,416,Nw_400kV_220kV,AT,2023,,,23,14930,22/04/2024 12:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,AT,2023,,,6,2550,22/04/2024 12:00,
Inventory of Transmission,5,412,Of_PU_>275kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,AT,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,BA,2023,4037.08,,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,BA,2023,1520.09,,,,22/04/2024 12:00,
Inventory of Transmission,5,402,ACL_275kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BA,2023,865.93,,,,22/04/2024 12:00,
Inventory of Transmission,5,405,ACL_750kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,BA,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,BA,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,BA,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,BA,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BA,2023,,,14,2100,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BA,2023,,,6,1800,22/04/2024 12:00,
Inventory of Transmission,5,416,Nw_400kV_220kV,BA,2023,,,7,2800,22/04/2024 12:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,BA,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BE,2023,162,72,,,22/04/2024 12:00,
Inventory of Transmission,5,407,ACC_Over_380kV,BE,2023,41,10,,,22/04/2024 12:00,
Inventory of Transmission,5,400,ACL_110kV_220kV,BE,2023,3239,1904,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,BE,2023,470,301,,,22/04/2024 12:00,
Inventory of Transmission,5,402,ACL_275kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BE,2023,1592,939,,,22/04/2024 12:00,
Inventory of Transmission,5,405,ACL_750kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,BE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,BE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,BE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,BE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BE,2023,49,49,,,22/04/2024 12:00,
Inventory of Transmission,5,409,DCC_Over_380kV,BE,2023,139,139,,,22/04/2024 12:00,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BE,2023,,,4,1275,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BE,2023,,,37,18525.6,22/04/2024 12:00,
Inventory of Transmission,5,416,Nw_400kV_220kV,BE,2023,,,11,4500,22/04/2024 12:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,BE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,BG,2023,10164,10164,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,BG,2023,2710,2710,,,22/04/2024 12:00,
Inventory of Transmission,5,402,ACL_275kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BG,2023,3195,3195,,,22/04/2024 12:00,
Inventory of Transmission,5,405,ACL_750kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,BG,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,BG,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,BG,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,BG,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BG,2023,,,40,7.94,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BG,2023,,,21,4.782,22/04/2024 12:00,
Inventory of Transmission,5,416,Nw_400kV_220kV,BG,2023,,,7,6.144,22/04/2024 12:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BG,2023,,,25,4.46,22/04/2024 12:00,
Inventory of Transmission,5,412,Of_PU_>275kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BG,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,BG,2023,,,8,4.788,22/04/2024 12:00,
Inventory of Transmission,5,406,ACC_220kV_380kV,CY,2023,248,150,,,22/04/2024 12:00,
Inventory of Transmission,5,407,ACC_Over_380kV,CY,2023,,,,,22/04/2024 12:00,Not Available
Inventory of Transmission,5,400,ACL_110kV_220kV,CY,2023,950,475,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,CY,2023,88,44,,,22/04/2024 12:00,
Inventory of Transmission,5,402,ACL_275kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,405,ACL_750kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,CY,2023,,,,66kV power lines exist in the transmission network that do not fall in the above categories. Also 220kV Transmission Lines are operated at 132kV.,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,CY,2023,,,,132kV and 66kV ac cables exist in the transmission network that do not fall in the above categories.,22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,CY,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,CY,2023,,,,"Power Transformers 15.75/132kV, 11/132kV, 11/66kV, Step Down Network Transformers 132/11kV, 132/6,6kV, 132/3,3kV, 66/3.3kV and interbus transformers 132/66kV exist in the transmission network that do not fall in the above categories.
132/11KV - # 96 - 3139000kVA
132/22-11KV - # 11 - 440000kVA
66/11KV - # 15 - 191000kVA
132/66KV - #6 - 288000kVA",22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,CY,2023,,,,,22/04/2024 12:00,Not Available
Inventory of Transmission,5,408,DCC_220kV_380kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,CY,2023,,,128,4058,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,416,Nw_400kV_220kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,415,Nw_400kV_330kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,CY,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,CZ,2023,84,45,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,CZ,2023,1618,1126,,,22/04/2024 12:00,
Inventory of Transmission,5,402,ACL_275kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,CZ,2023,3940,3212,,,22/04/2024 12:00,
Inventory of Transmission,5,405,ACL_750kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,CZ,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,CZ,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,CZ,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,CZ,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,CZ,2023,,,20,4000,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,CZ,2023,,,51,17450,22/04/2024 12:00,
Inventory of Transmission,5,416,Nw_400kV_220kV,CZ,2023,,,8,5400,22/04/2024 12:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,CZ,2023,,,14,4000,22/04/2024 12:00,
Inventory of Transmission,5,412,Of_PU_>275kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,CZ,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,CZ,2023,,,29,22850,22/04/2024 12:00,
Inventory of Transmission,5,406,ACC_220kV_380kV,DE,2023,434.947,467.21,,,22/04/2024 12:00,
Inventory of Transmission,5,407,ACC_Over_380kV,DE,2023,206.375,119.23,,,22/04/2024 12:00,
Inventory of Transmission,5,400,ACL_110kV_220kV,DE,2023,777.723,1156.35,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,DE,2023,10948.44,4473.56,,,22/04/2024 12:00,
Inventory of Transmission,5,402,ACL_275kV,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,DE,2023,23051.613,12963.89,,,22/04/2024 12:00,
Inventory of Transmission,5,405,ACL_750kV,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,DE,2023,,,,"Amprion: ""Selection of circuits and lines owned by Amprion. If there is more than one circuit on a line the highest voltage level is used.""",22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,DE,2023,,,,"Amprion: ""Filtered by cables outside substations""",22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,DE,2023,,,,"TenneT-DE: ""DC Interconenctor Nordlink (50% property TenneT and 50% Statnett; only TenneT property conted)""",22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,DE,2023,,,,"50Hertz: ""Compared to 2021 no spare units, as well as HVDC units, 3rd party units or units connected to FACTS are taken into account. 6 PST 400/400kV are included. Single phase units which are connected to a 3-phase unit are calculated only as 1 TFO.""
TenneT-DE: ""For ""Of PU…"" only transformers to power plants not consumers (e.g. industry) is consiered.""",22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,DE,2023,200,200,,,22/04/2024 12:00,
Inventory of Transmission,5,408,DCC_220kV_380kV,DE,2023,1375,1415.3,,,22/04/2024 12:00,
Inventory of Transmission,5,409,DCC_Over_380kV,DE,2023,585,300,,,22/04/2024 12:00,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,DE,2023,,,282,51356.7,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,DE,2023,,,16,10146,22/04/2024 12:00,
Inventory of Transmission,5,418,Nw_330kV_220kV,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,DE,2023,,,430,114669,22/04/2024 12:00,
Inventory of Transmission,5,416,Nw_400kV_220kV,DE,2023,,,159,62725.9,22/04/2024 12:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,DE,2023,,,23,19438,22/04/2024 12:00,
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,DE,2023,,,82,13161.1,22/04/2024 12:00,
Inventory of Transmission,5,412,Of_PU_>275kV,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,DE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,DE,2023,,,207,79169.9,22/04/2024 12:00,
Inventory of Transmission,5,406,ACC_220kV_380kV,DK,2023,620.9,366.359,,,22/04/2024 12:00,
Inventory of Transmission,5,407,ACC_Over_380kV,DK,2023,250.7,222.1,,,22/04/2024 12:00,
Inventory of Transmission,5,400,ACL_110kV_220kV,DK,2023,2702.797,1687.9702,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,402,ACL_275kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,DK,2023,1369.4601,947.8,,,22/04/2024 12:00,
Inventory of Transmission,5,405,ACL_750kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,DK,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,DK,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,DK,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,DK,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,DK,2023,829.8,742.3,,,22/04/2024 12:00,
Inventory of Transmission,5,409,DCC_Over_380kV,DK,2023,1565.627,1464.257,,,22/04/2024 12:00,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,DK,2023,,,2,900,22/04/2024 12:00,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,DK,2023,,,47,15813.2,22/04/2024 12:00,
Inventory of Transmission,5,416,Nw_400kV_220kV,DK,2023,,,4,1950,22/04/2024 12:00,
Inventory of Transmission,5,415,Nw_400kV_330kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,DK,2023,,,10,2130,22/04/2024 12:00,
Inventory of Transmission,5,412,Of_PU_>275kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,DK,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,DK,2023,,,67,21576.2,22/04/2024 12:00,
Inventory of Transmission,5,406,ACC_220kV_380kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,EE,2023,3353,3353,,,22/04/2024 12:00,
Inventory of Transmission,5,401,ACL_220kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,402,ACL_275kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,403,ACL_330kV,EE,2023,1608,1608,,,22/04/2024 12:00,
Inventory of Transmission,5,404,ACL_380_400kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,405,ACL_750kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,424,Comments_1,EE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,425,Comments_2,EE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,426,Comments_3,EE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,427,Comments_4,EE,2023,,,,,22/04/2024 12:00,
Inventory of Transmission,5,422,DCC_110kV_220V,EE,2023,54,54,,,22/04/2024 12:00,
Inventory of Transmission,5,408,DCC_220kV_380kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,EE,2023,85,85,,,22/04/2024 12:00,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,EE,2023,,,,,22/04/2024 12:00,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,EE,2023,,,18,3.3,22/04/2024 12:00,
Inventory of Transmission,5,418,Nw_330kV_220kV,EE,2023,,,,,22/04/2024 12:00,Not Expected
